"","order","biol.batch","time.point","condition","label","Id","exp.batch"
"1358BZU_0001Blank_A1",1,NA,NA,"blank","1358BZU_0001Blank_A1",NA,1
"1358BZU_0001Blank_B1",2,NA,NA,"blank","1358BZU_0001Blank_B1",NA,1
"1358BZU_0001QC_A1",3,NA,NA,"QC","1358BZU_0001QC_A1",NA,1
"1358BZU_0001QC_B1",4,NA,NA,"QC","1358BZU_0001QC_B1",NA,1
"1358BZU_0025_A1_11_0_Control",5,11,"0h","Control","1358BZU_0025_A1_11_0_Control","1358BZU_0025",1
"1358BZU_0026_A1_11_0_Ikaros",6,11,"0h","Ikaros","1358BZU_0026_A1_11_0_Ikaros","1358BZU_0026",1
"1358BZU_0030_A1_11_6_Ikaros",7,11,"6h","Ikaros","1358BZU_0030_A1_11_6_Ikaros","1358BZU_0030",1
"1358BZU_0029_A1_11_6_Control",8,11,"6h","Control","1358BZU_0029_A1_11_6_Control","1358BZU_0029",1
"1358BZU_0033_A1_11_18_Control",9,11,"18h","Control","1358BZU_0033_A1_11_18_Control","1358BZU_0033",1
"1358BZU_0034_A1_11_18_Ikaros",10,11,"18h","Ikaros","1358BZU_0034_A1_11_18_Ikaros","1358BZU_0034",1
"1358BZU_0001QC_C1",11,NA,NA,"QC","1358BZU_0001QC_C1",NA,1
"1358BZU_0028_A1_11_2_Ikaros",12,11,"2h","Ikaros","1358BZU_0028_A1_11_2_Ikaros","1358BZU_0028",1
"1358BZU_0027_A1_11_2_Control",13,11,"2h","Control","1358BZU_0027_A1_11_2_Control","1358BZU_0027",1
"1358BZU_0036_A1_11_24_Ikaros",14,11,"24h","Ikaros","1358BZU_0036_A1_11_24_Ikaros","1358BZU_0036",1
"1358BZU_0035_A1_11_24_Control",15,11,"24h","Control","1358BZU_0035_A1_11_24_Control","1358BZU_0035",1
"1358BZU_0032_A1_11_12_Ikaros",16,11,"12h","Ikaros","1358BZU_0032_A1_11_12_Ikaros","1358BZU_0032",1
"1358BZU_0031_A1_11_",17,11,"12h","Control","1358BZU_0031_A1_11_","1358BZU_0031_11_12_Control",1
"1358BZU_0001QC_D1",18,NA,NA,"QC","1358BZU_0001QC_D1",NA,1
"1358BZU_0040_A1_12_2_Ikaros",19,12,"2h","Ikaros","1358BZU_0040_A1_12_2_Ikaros","1358BZU_0040",1
"1358BZU_0039_A1_12_2_Control",20,12,"2h","Control","1358BZU_0039_A1_12_2_Control","1358BZU_0039",1
"1358BZU_0046_A1_12_18_Ikaros",21,12,"18h","Ikaros","1358BZU_0046_A1_12_18_Ikaros","1358BZU_0046",1
"1358BZU_0045_A1_12_18_Control",22,12,"18h","Control","1358BZU_0045_A1_12_18_Control","1358BZU_0045",1
"1358BZU_0041_A1_12_6_Control",23,12,"6h","Control","1358BZU_0041_A1_12_6_Control","1358BZU_0041",1
"1358BZU_0042_A1_12_6_Ikaros",24,12,"6h","Ikaros","1358BZU_0042_A1_12_6_Ikaros","1358BZU_0042",1
"1358BZU_0001QC_E1",25,NA,NA,"QC","1358BZU_0001QC_E1",NA,1
"1358BZU_0037_A1_12_0_Control",26,12,"0h","Control","1358BZU_0037_A1_12_0_Control","1358BZU_0037",1
"1358BZU_0038_A1_12_0_Ikaros",27,12,"0h","Ikaros","1358BZU_0038_A1_12_0_Ikaros","1358BZU_0038",1
"1358BZU_0047_A1_12_24_Control",28,12,"24h","Control","1358BZU_0047_A1_12_24_Control","1358BZU_0047",1
"1358BZU_0048_A1_12_24_Ikaros",29,12,"24h","Ikaros","1358BZU_0048_A1_12_24_Ikaros","1358BZU_0048",1
